id,chapter,Question,Answer
602,"Chapter 7","What does it mean if a takeoff weight is limited by an obstacle in the second segment?","It means the takeoff weight must be reduced to ensure adequate climb performance at V2 to clear obstacles below the 2nd to 3rd segment level-off height."
603,"Chapter 7","What can you do if an aircraft is limited by a close-in obstacle in the second departure profile segment?","1. Increase takeoff flaps. 2. Reduce takeoff weight. 3. Increased V2 climb. 4. Maximum angle climb profile."
604,"Chapter 7","What is an increased V2?","An increased V2 is a technique for improving climb gradient performance in the second segment by increasing the V2 climb speed (increases lift)."
605,"Chapter 7","When is an increased V2 climb profile used?","Only if the takeoff weight is not restricted by field length limits."
606,"Chapter 7","What can you do if an aircraft is limited by a distant obstacle in the third departure profile segment?","1. Extended V2 climb profile technique. 2. Reduce takeoff weight. 3. Flight path climbing turns."
607,"Chapter 7","What is an extended V2 climb?","An extended V2 climb is one in which the second-segment climb (at V2) is continued to a higher level-off height or unlimited height."
608,"Chapter 7","Why is an extended V2 climb used?","It is used to clear distant third-segment obstacles that are higher than the normal second- to third-segment level-off height."
609,"Chapter 7","Describe a maximum-angle (Vx) climb profile.","Maximum or best-angle climb (Vx) is the steepest angle or highest gradient of climb used to clear close-in obstacles over the shortest horizontal distance."
610,"Chapter 7","Describe the minimum-rate (Vy) climb profile.","Maximum- or best-rate climb (Vy) is the highest vertical speed that gains height in the shortest time."
611,"Chapter 7","Describe the cruise climb profile.","The cruise climb profile is a compromise between the best en route speed profile and the best climb profile."
612,"Chapter 7","What climb departure uses the least trip fuel?","The best rate of climb (Vy) departure uses the least trip fuel because it ensures the aircraft reaches its optimal cruise altitude as quickly as possible."
613,"Chapter 7","A reduced-power climb uses more or less trip fuel, and why?","A reduced-power climb uses more trip fuel because the aircraft has a slower rate of ascent and spends less time at its optimal cruise altitude."
614,"Chapter 7","A derated takeoff will use more or less trip fuel, and why.","A derated takeoff uses more trip fuel because the aircraft has a slower initial rate of ascent."
615,"Chapter 7","What is VRA/MRA speed?","VRA/MRA is an airspeed for rough air conditions, or turbulence penetration speed."
616,"Chapter 7","What is VMO/MMO speed?","VMO/MMO is the maximum operating speed permitted for all operations."
617,"Chapter 7","What is VNO speed?","VNO is the normal operating speed permitted for all normal operations."
618,"Chapter 7","What is VDF/MDF speed?","VDF/MDF is the maximum flight diving speed for a jet aircraft."
619,"Chapter 7","What is VNE speed?","VNE is the never-exceed velocity."
620,"Chapter 7","What is the absolute ceiling?","The absolute ceiling is the maximum attainable altitude where Mach number buffet and prestall buffet occur coincidentally (coffin corner)."
621,"Chapter 7","What is a maximum service ceiling?","The maximum service ceiling is an aircraft's imposed en route maximum operating altitude, providing a safety margin below its absolute ceiling."
622,"Chapter 7","Define maximum endurance and range with reference to the drag curve.","Maximum endurance: Achieved by flying at minimum drag speed (VIMD). Maximum range: Achieved by flying at a speed slightly higher than VIMD where the ratio of power required to airspeed is least."
623,"Chapter 7","What is the difference between maximum-range cruise (MRC) and long-range-cruise (LRC)?","MRC is the speed for maximum fuel mileage. LRC is a speed significantly higher than MRC (results in 1 percent mileage loss) but offers stability and speed benefits."
624,"Chapter 7","What is a cost index?","A cost index (CI) is a performance management function that optimizes the aircraft's speed for the minimum cost (balancing fuel costs against dry operating costs)."
625,"Chapter 7","How is range increased when flying into a headwind?","Range is increased because the best range speed will be a little faster, allowing less time en route for the headwind to act."
626,"Chapter 7","A flight carried out below its optimal altitude has what results on jet performance?","It uses more fuel (higher SFC) but takes less time (higher LSS at lower altitude increases TAS/ground speed for constant Mach)."
627,"Chapter 7","What is a cruise (step) climb?","A cruise (step) climb occurs when an aircraft climbs to a new maximum altitude as it loses weight due to fuel burn."
628,"Chapter 7","What are the normal en route operating performance limitations for an aircraft?","1. En route obstacle/terrain clearance. 2. Maximum range limit. 3. Extended twin operations (ETOPS) time limit."
629,"Chapter 7","Explain a typical fuel plan for a trip.","Includes fuel for: Takeoff/Climb, En route cruise, Descent to diversion point, Contingency, Diversion to alternate, Instrument approach/landing, Holding fuel."
630,"Chapter 7","What is island holding fuel, and when is it used?","Island holding fuel is uplifted in place of diversion fuel to allow holding over a destination (like a remote island) where no diversion option exists."
631,"Chapter 7","Explain fuel howgozit?","Fuel howgozit is a comparison of actual fuel remaining against planned fuel remaining along the flight path."
632,"Chapter 7","What is the critical point?","The critical point (equal-time point) is the position where it is as quick to go to destination as to turn back."
633,"Chapter 7","How does the wind affect the position of the critical point?","The critical point moves into the wind (headwind moves CP closer to destination; tailwind moves CP closer to departure)."
634,"Chapter 7","What is the most important diversion question to ask in an emergency?","Which aerodrome is the quickest to get to?"
635,"Chapter 7","What is the point of no return (PNR)?","PNR is the last point on a route at which it is possible to return to the departure aerodrome with a sensible fuel reserve."
636,"Chapter 7","Where are you likely to need a point of no return (PNR)?","On routes where diversion airfields are not readily available (e.g., over large oceans)."
637,"Chapter 7","What is the landing distance available (LDA)?","LDA is the distance available for landing from 50 ft above the threshold to the end of the landing runway."
638,"Chapter 7","What is landing distance required (LDR)?","LDR is the distance required from the 50 ft threshold point to where the aircraft reaches a full stop."
639,"Chapter 7","What distance along the runway is the touchdown aiming point?","1000 ft (given a 3-degree glide path)."
640,"Chapter 7","What is the height of the aircraft over the runway threshold (fence)?","50 ft."
641,"Chapter 7","What is VMCL speed?","VMCL is the minimum control speed in the air for a multiengined aircraft in the approach and landing configuration... to maintain directional control... after failure of an off-center engine."
642,"Chapter 7","What is VAT/Vref speed?","VAT/Vref is the target approach threshold speed (1.3 * VS)."
643,"Chapter 7","How does a fast approach speed affect landing distance?","Approaching at a higher speed increases the landing distance."
644,"Chapter 7","How does aircraft weight affect landing performance?","Increased weight results in a greater landing distance required (higher stall speed, greater momentum, higher kinetic energy)."
645,"Chapter 7","How does the use of flaps affect an aircraft's landing performance?","Increased flap settings decrease the landing distance required (lower stall speed, increased drag, lower momentum)."
646,"Chapter 7","How does pressure altitude affect landing performance?","High pressure altitude decreases performance, resulting in an increased landing distance required."
